tmain,RadialPositions,ne,Ee,dne,dEe,nue,nH,EH,dnH,dEH,nuH,nH2,EH2,dnH2,dEH2,nuH2,nHi,EHi,dnHi,dEHi,nuHi,nH2i,EH2i,dnH2i,dEH2i,nuH2i,nH3i,EH3i,dnH3i,dEH3i,nuH3i,nHeI,EHeI,dnHeI,dEHeI,nuHeI,nHeII,EHeII,dnHeII,dEHeII,nuHeII,nHeIII,EHeIII,dnHeIII,dEHeIII,nuHeIII,nCI,xnCI,nCII,xnCII,nCIII,xnCIII,nCIV,xnCIV,nCV,xnCV,PRFe,PRFHi,PRFH2i,PRFH3i,PRFHeII,PRFHeIII,tnew
1.998001e-05,1.040533e+02,2.142666e+12,9.165275e+12,-4.145505e+11,-1.695559e+12,7.047037e+03,5.140381e+09,1.901869e+10,-2.357673e+08,-1.141512e+09,1.181159e+04,2.504594e+10,5.233965e+09,2.055554e+08,-6.002319e+08,1.466465e+04,5.972284e+07,1.577570e+08,-1.000119e+07,-1.550067e+07,2.340684e+05,1.671537e+07,2.181453e+07,5.383232e+05,2.313542e+05,6.977785e+05,1.000000e+07,1.608145e+07,0.000000e+00,-3.304201e+05,5.075190e+05,1.083536e+12,3.147182e+11,1.033997e+08,-4.125259e+10,8.170853e+03,2.142558e+12,3.404188e+12,-4.145411e+11,-7.331574e+11,1.208709e+06,1.074014e+07,1.729281e+07,2.097774e+02,-3.739420e+05,6.181317e+02,8.038892e+08,5.935831e+07,3.060768e+08,-5.935831e+07,3.060768e+00,-5.935831e-01,3.060768e+00,0.000000e+00,3.060768e+00,0.000000e+00,4.570920e+10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-08
1.998001e-05,1.042400e+02,2.066093e+12,8.851604e+12,-4.058029e+11,-1.664778e+12,6.922370e+03,5.097091e+09,1.880687e+10,-2.280081e+08,-1.128001e+09,1.167378e+04,2.508389e+10,5.122375e+09,2.010756e+08,-5.951262e+08,1.418199e+04,5.787271e+07,1.548583e+08,-9.818358e+06,-1.558105e+07,2.228246e+05,1.681367e+07,2.185487e+07,5.139936e+05,1.998502e+05,6.769660e+05,1.000000e+07,1.602039e+07,0.000000e+00,-3.236376e+05,4.923617e+05,1.083555e+12,3.070651e+11,1.012318e+08,-4.073434e+10,7.873339e+03,2.065987e+12,3.269236e+12,-4.057936e+11,-7.127852e+11,1.169567e+06,1.074018e+07,1.722360e+07,2.042466e+02,-3.674600e+05,6.167107e+02,8.148523e+08,5.810057e+07,2.951136e+08,-5.810057e+07,2.951136e+00,-5.810057e-01,2.951136e+00,0.000000e+00,2.951136e+00,0.000000e+00,4.407569e+10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-08
1.998001e-05,1.044267e+02,1.991166e+12,8.543758e+12,-3.969296e+11,-1.633194e+12,6.800658e+03,5.055258e+09,1.859757e+10,-2.201619e+08,-1.114477e+09,1.153761e+04,2.512101e+10,5.011785e+09,1.967837e+08,-5.895286e+08,1.370864e+04,5.605732e+07,1.519401e+08,-9.629204e+06,-1.570657e+07,2.120204e+05,1.690726e+07,2.188914e+07,4.878370e+05,1.663590e+05,6.563927e+05,1.000000e+07,1.596062e+07,0.000000e+00,-3.166142e+05,4.773786e+05,1.083574e+12,2.995107e+11,1.004999e+08,-4.019616e+10,7.582690e+03,1.991062e+12,3.138082e+12,-3.969204e+11,-6.924783e+11,1.131131e+06,1.074022e+07,1.715563e+07,1.986843e+02,-3.607586e+05,6.153139e+02,8.255790e+08,5.682500e+07,2.843870e+08,-5.682500e+07,2.843870e+00,-5.682500e-01,2.843870e+00,0.000000e+00,2.843870e+00,0.000000e+00,4.247728e+10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-08
1.998001e-05,1.046133e+02,1.917906e+12,8.241878e+12,-3.879497e+11,-1.600882e+12,6.681920e+03,5.014897e+09,1.839080e+10,-2.122252e+08,-1.100934e+09,1.140041e+04,2.515735e+10,4.902284e+09,1.926522e+08,-5.834706e+08,1.324480e+04,5.427781e+07,1.489946e+08,-9.434096e+06,-1.587054e+07,2.016664e+05,1.699579e+07,2.191698e+07,4.598063e+05,1.308184e+05,6.360743e+05,1.000000e+07,1.590219e+07,0.000000e+00,-3.093629e+05,4.625798e+05,1.083592e+12,2.920585e+11,1.011239e+08,-3.963941e+10,7.298950e+03,1.917804e+12,3.010711e+12,-3.879407e+11,-6.722723e+11,1.093434e+06,1.074026e+07,1.708892e+07,1.930992e+02,-3.538536e+05,6.139427e+02,8.360661e+08,5.553432e+07,2.738999e+08,-5.553432e+07,2.738999e+00,-5.553432e-01,2.738999e+00,0.000000e+00,2.738999e+00,0.000000e+00,4.091443e+10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-08
1.998001e-05,1.048000e+02,1.846332e+12,7.946095e+12,-3.788817e+11,-1.567918e+12,6.566165e+03,4.976027e+09,1.818656e+10,-2.041975e+08,-1.087383e+09,1.126526e+04,2.519293e+10,4.793956e+09,1.886567e+08,-5.769828e+08,1.279064e+04,5.253526e+07,1.460151e+08,-9.233416e+06,-1.606536e+07,1.917685e+05,1.707892e+07,2.193798e+07,4.298695e+05,9.318672e+04,6.160258e+05,1.000000e+07,1.584513e+07,0.000000e+00,-3.018972e+05,4.479752e+05,1.083611e+12,2.847120e+11,1.030402e+08,-3.906541e+10,7.022177e+03,1.846231e+12,2.887100e+12,-3.788729e+11,-6.522002e+11,1.056503e+06,1.074029e+07,1.702352e+07,1.875003e+02,-3.467612e+05,6.125985e+02,8.463110e+08,5.423121e+07,2.636550e+08,-5.423121e+07,2.636550e+00,-5.423121e-01,2.636550e+00,0.000000e+00,2.636550e+00,0.000000e+00,3.938754e+10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-08
1.998001e-05,1.049867e+02,1.776457e+12,7.656522e+12,-3.697439e+11,-1.534376e+12,6.453400e+03,4.938664e+09,1.798484e+10,-1.960779e+08,-1.073833e+09,1.113218e+04,2.522778e+10,4.686877e+09,1.847758e+08,-5.700951e+08,1.234631e+04,5.083067e+07,1.429968e+08,-9.027563e+06,-1.628280e+07,1.823286e+05,1.715628e+07,2.195177e+07,3.980116e+05,5.344480e+04,5.962615e+05,1.000000e+07,1.578948e+07,0.000000e+00,-2.942307e+05,4.335741e+05,1.083631e+12,2.774741e+11,1.062001e+08,-3.847546e+10,6.752399e+03,1.776358e+12,2.767223e+12,-3.697352e+11,-6.322931e+11,1.020361e+06,1.074033e+07,1.695946e+07,1.818942e+02,-3.394992e+05,6.112826e+02,8.563118e+08,5.291827e+07,2.536542e+08,-5.291827e+07,2.536542e+00,-5.291827e-01,2.536542e+00,0.000000e+00,2.536542e+00,0.000000e+00,3.789692e+10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-08
1.998001e-05,1.051733e+02,1.708294e+12,7.373261e+12,-3.605536e+11,-1.500332e+12,6.343625e+03,4.902825e+09,1.778566e+10,-1.878638e+08,-1.060287e+09,1.100116e+04,2.526192e+10,4.581120e+09,1.809909e+08,-5.628366e+08,1.191196e+04,4.916497e+07,1.399362e+08,-8.816948e+06,-1.651429e+07,1.733441e+05,1.722751e+07,2.195793e+07,3.642365e+05,1.159803e+04,5.767948e+05,1.000000e+07,1.573528e+07,0.000000e+00,-2.863768e+05,4.193856e+05,1.083651e+12,2.703478e+11,1.105673e+08,-3.787046e+10,6.489633e+03,1.708196e+12,2.651044e+12,-3.605452e+11,-6.125803e+11,9.850234e+05,1.074036e+07,1.689677e+07,1.762793e+02,-3.320884e+05,6.099961e+02,8.660667e+08,5.159802e+07,2.438993e+08,-5.159802e+07,2.438993e+00,-5.159802e-01,2.438993e+00,0.000000e+00,2.438993e+00,0.000000e+00,3.644280e+10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-08
1.998001e-05,1.053600e+02,1.641850e+12,7.096399e+12,-3.513280e+11,-1.465857e+12,6.236834e+03,4.868528e+09,1.758900e+10,-1.795524e+08,-1.046745e+09,1.087220e+04,2.529535e+10,4.476751e+09,1.772858e+08,-5.552356e+08,1.148769e+04,4.753901e+07,1.368315e+08,-8.601997e+06,-1.675121e+07,1.648095e+05,1.729226e+07,2.195610e+07,3.285691e+05,-3.231656e+04,5.576383e+05,1.000000e+07,1.568257e+07,0.000000e+00,-2.783469e+05,4.054182e+05,1.083672e+12,2.633358e+11,1.161176e+08,-3.725122e+10,6.233077e+03,1.641754e+12,2.538526e+12,-3.513197e+11,-5.930902e+11,9.505041e+05,1.074039e+07,1.683548e+07,1.706356e+02,-3.245444e+05,6.087400e+02,8.755747e+08,5.027289e+07,2.343912e+08,-5.027289e+07,2.343912e+00,-5.027289e-01,2.343912e+00,0.000000e+00,2.343912e+00,0.000000e+00,3.502537e+10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-08
1.998001e-05,1.055467e+02,1.577131e+12,6.826008e+12,-3.420835e+11,-1.431023e+12,6.133018e+03,4.835792e+09,1.739487e+10,-1.711408e+08,-1.033209e+09,1.074531e+04,2.532810e+10,4.373832e+09,1.736467e+08,-5.473195e+08,1.107360e+04,4.595355e+07,1.336824e+08,-8.383151e+06,-1.698512e+07,1.567157e+05,1.735017e+07,2.194587e+07,2.910565e+05,-7.822724e+04,5.388039e+05,1.000000e+07,1.563137e+07,0.000000e+00,-2.701500e+05,3.916799e+05,1.083694e+12,2.564407e+11,1.228400e+08,-3.661927e+10,5.983508e+03,1.577037e+12,2.429624e+12,-3.420754e+11,-5.738463e+11,9.168121e+05,1.074042e+07,1.677561e+07,1.649165e+02,-3.168760e+05,6.074950e+02,8.848351e+08,4.894525e+07,2.251309e+08,-4.894524e+07,2.251309e+00,-4.894524e-01,2.251309e+00,0.000000e+00,2.251309e+00,0.000000e+00,3.364473e+10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-08
1.998001e-05,1.057333e+02,1.514139e+12,6.562150e+12,-3.328357e+11,-1.395902e+12,6.032161e+03,4.804635e+09,1.720327e+10,-1.626256e+08,-1.019680e+09,1.062047e+04,2.536018e+10,4.272419e+09,1.700619e+08,-5.391151e+08,1.066975e+04,4.440930e+07,1.304904e+08,-8.160860e+06,-1.720801e+07,1.490516e+05,1.740092e+07,2.192689e+07,2.517700e+05,-1.260327e+05,5.203025e+05,1.000000e+07,1.558171e+07,0.000000e+00,-2.617964e+05,3.781783e+05,1.083718e+12,2.496646e+11,1.307332e+08,-3.597623e+10,5.741014e+03,1.514046e+12,2.324290e+12,-3.328278e+11,-5.548688e+11,8.839526e+05,1.074045e+07,1.671718e+07,1.590556e+02,-3.090954e+05,6.061389e+02,8.938476e+08,4.761735e+07,2.161184e+08,-4.761735e+07,2.161184e+00,-4.761735e-01,2.161184e+00,0.000000e+00,2.161184e+00,0.000000e+00,3.230093e+10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-08
